User-Agent,From,Accept,Accept-Language,Accept-Encoding,Connection,Referer,If-Modified-Since,If-None-Match
"ExampleOrgBot/1.0 (+https://example.org/bot; bot@example.org)","bot@example.org","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9","gzip, deflate, br","keep-alive",,,
"MyResearchCrawler/2.3 (+https://university.edu/crawler; research@university.edu)","research@university.edu","text/html","en-GB,en;q=0.8","gzip, deflate","keep-alive","https://university.edu/project",,
"DataCollectionBot/0.9 (+https://company.com/bot-info; ops@company.com)","ops@company.com","application/json, text/plain, */*","en-US","gzip, deflate, br","keep-alive",,,
"OpenDataScraper/1.0 (+https://opendata.example/bot; admin@opendata.example)","admin@opendata.example","text/html,application/xml","en;q=0.9","gzip, br","keep-alive",,"Mon, 01 Jan 2000 00:00:00 GMT",
"NewsArchiverBot/3.1 (+https://newsorg.example/archiver; contact@newsorg.example)","contact@newsorg.example","text/html,application/xhtml+xml","en-US,en;q=0.5","gzip, deflate","keep-alive","https://newsorg.example",,
"AcademicCrawler/0.7 (+https://dept.univ.edu/crawler; lab@dept.univ.edu)","lab@dept.univ.edu","application/xml, text/xml, */*;q=0.1","en-US","gzip","keep-alive",,,
"CatalogSyncBot/1.2 (+https://retailer.example/sync; sync@retailer.example)","sync@retailer.example","application/json","en-US","gzip, deflate","keep-alive","https://retailer.example/dashboard",,
"OpenLibraryCrawler/2.0 (+https://library.example/bot; lib-admin@library.example)","lib-admin@library.example","text/html,application/xhtml+xml","en-US,en;q=0.7","gzip, br","keep-alive",,,
"MetricsCollector/0.5 (+https://analytics.example/info; devops@analytics.example)","devops@analytics.example","*/*","en-US","gzip, deflate","keep-alive",,,
"PublicRecordsBot/1.0 (+https://gov.example/bot; records@gov.example)","records@gov.example","text/html,application/xml","en-US","gzip","keep-alive",,,
"ImageIndexBot/1.5 (+https://images.example/bot; images@images.example)","images@images.example","image/webp,image/apng,image/*,*/*;q=0.8","en-US,en;q=0.8","gzip, br","keep-alive",,,
"ProductCrawler/4.0 (+https://shop.example/bot; crawler@shop.example)","crawler@shop.example","application/json, text/plain","en-IN,en;q=0.9","gzip, deflate","keep-alive","https://shop.example",,
"ScholarDataBot/0.3 (+https://scholar.example/bot; scholar@scholar.example)","scholar@scholar.example","application/xml, text/xml","en-US","gzip","keep-alive",,,
"OrgDirectoryBot/2.2 (+https://org.example/bot; admin@org.example)","admin@org.example","text/html","en-US,en;q=0.5","gzip, deflate","keep-alive",,,
"ForumArchivist/1.0 (+https://forum.example/bot; archive@forum.example)","archive@forum.example","text/html,application/xhtml+xml","en-US","gzip, br","keep-alive","https://forum.example",,
"OpenGeoCrawler/0.8 (+https://geo.example/bot; geo@geo.example)","geo@geo.example","application/json, */*;q=0.1","en-US","gzip","keep-alive",,,
"CitationCollector/1.4 (+https://cite.example/bot; cite@cite.example)","cite@cite.example","application/xml, text/html","en-US","gzip, deflate","keep-alive",,,
"EventScrapeBot/0.6 (+https://events.example/bot; events@events.example)","events@events.example","text/html,application/json","en-US","gzip, br","keep-alive","https://events.example",,
"HealthDataCrawler/1.0 (+https://health.example/bot; health@health.example)","health@health.example","application/json, text/plain","en-US","gzip, deflate","keep-alive",,,
"LicensePlateCrawler/0.1 (+https://transport.example/bot; transport@transport.example)","transport@transport.example","text/html","en-US","gzip","keep-alive",,,"\"v1\""
"PolicyBot/1.1 (+https://policy-institute.org/bot; data@policy-institute.org)","data@policy-institute.org","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.7","gzip, deflate, br","keep-alive","https://policy-institute.org/research",,
"ClimateDataScraper/2.5 (+https://climatedata.edu/bot; scrape@climatedata.edu)","scrape@climatedata.edu","application/json, text/html","en-GB,en;q=0.9","gzip, deflate","keep-alive",,,
"ArchiveDigger/0.4 (+https://digital-archive.net/bot; tech@digital-archive.net)","tech@digital-archive.net","text/html,application/xml","en-US","gzip, br","keep-alive","https://digital-archive.net",,
"MarketTrendBot/3.2 (+https://econ-research.com/crawler; info@econ-research.com)","info@econ-research.com","*/*","en-US,en;q=0.8","gzip, deflate","keep-alive",,,
"LegalDocAnalyzer/1.8 (+https://law-school.edu/analyzer; bot@law-school.edu)","bot@law-school.edu","text/plain, text/html, application/pdf","en-US","gzip","keep-alive","https://law-school.edu/",,
"SocialMediaCrawler/5.0 (+https://smi-lab.org/crawler; admin@smi-lab.org)","admin@smi-lab.org","application/json, text/javascript, */*;q=0.1","en-US","gzip, deflate, br","keep-alive",,,
"BioInfoHarvester/1.0 (+https://bioinformatics-center.org/bot; harvester@bioinformatics-center.org)","harvester@bioinformatics-center.org","text/xml, application/xml","en-US,en;q=0.5","gzip, deflate","keep-alive",,,
"PatentCrawler/2.1 (+https://innovation-office.gov/bot; patents@innovation-office.gov)","patents@innovation-office.gov","text/html,application/xhtml+xml","en-US","gzip, br","keep-alive","https://innovation-office.gov/patents",,
"ArtsBot/0.9 (+https://museum-collection.org/bot; arts@museum-collection.org)","arts@museum-collection.org","image/jpeg,image/png,image/webp,text/html","en-US,en;q=0.9,fr;q=0.2","gzip, deflate","keep-alive",,,
"GenealogyBot/4.3 (+https://family-history-archive.org/bot; support@family-history-archive.org)","support@family-history-archive.org","text/html,application/xml","en-US","gzip","keep-alive","https://family-history-archive.org/records",,
"FinancialCrawler/1.5 (+https://finance-studies.edu/bot; crawler@finance-studies.edu)","crawler@finance-studies.edu","application/json, text/csv, */*","en-US","gzip, deflate, br","keep-alive",,,
"SpeechDataBot/0.2 (+https://ai-speech-lab.edu/bot; data@ai-speech-lab.edu)","data@ai-speech-lab.edu","audio/wav,audio/mpeg,text/html","en-US,en;q=0.8","gzip, deflate","keep-alive",,,
"AstroDataCollector/3.7 (+https://observatory.edu/bot; telemetry@observatory.edu)","telemetry@observatory.edu","application/fits, image/fits, text/plain","en-US","gzip","keep-alive",,,
"LinguisticsBot/2.0 (+https://linguistics-department.edu/bot; langlab@linguistics-department.edu)","langlab@linguistics-department.edu","text/plain, text/html, application/xml","en-US,es;q=0.7,de;q=0.5","gzip, deflate","keep-alive","https://linguistics-department.edu/corpus",,
"WildlifeTrackerBot/1.1 (+https://conservation-research.org/bot; tracking@conservation-research.org)","tracking@conservation-research.org","application/json, image/jpeg, text/csv","en-GB,en;q=0.9","gzip, deflate, br","keep-alive",,,
"UrbanDataScraper/0.5 (+https://urban-planning-institute.org/bot; urban-data@urban-planning-institute.org)","urban-data@urban-planning-institute.org","text/html, application/json, application/geo+json","en-US","gzip, deflate","keep-alive","https://urban-planning-institute.org/data-portal",,
"SupplyChainBot/2.4 (+https://logistics-institute.edu/bot; chain@logistics-institute.edu)","chain@logistics-institute.edu","application/xml, text/csv, */*","en-US","gzip, br","keep-alive",,,
"CrisisMonitorBot/1.0 (+https://disaster-response.org/monitor; monitor@disaster-response.org)","monitor@disaster-response.org","application/rss+xml, application/atom+xml, text/html","en-US","gzip, deflate","keep-alive","https://disaster-response.org/alerts",,
"EthnoGraphBot/0.8 (+https://anthropology.net/bot; research@anthropology.net)","research@anthropology.net","text/html, application/json","en-US,en;q=0.9,fr;q=0.2","gzip, deflate, br","keep-alive",,,
"QuantumComputingBot/0.1 (+https://qci-research.org/bot; qci@qci-research.org)","qci@qci-research.org","text/plain, application/json","en-US","gzip","keep-alive","https://qci-research.org/publications",,,"v2.1"

